script_basename,decision,reason
xenium_signature_scoring.py,exclude,Xenium branch; not part of the Visium Results/Supplement reproduction chain.
run_snai1ac_ppee001_section24.py,exclude,"Legacy section-specific wrapper superseded by the staged signature, pathway, composition, SpaGCN, and LISA scripts."
compare_snai1ac_ppee001_ora.py,exclude,Exploratory comparison around the signature/ORA branch; manuscript ORA is covered by the staged ORA scripts.
compare_snai1ac_ppee001_signature_visual.py,exclude,Exploratory signature visual comparison; final score figures are covered by the EnrichMap/signature scripts.
definition4_rerun_genenmf_ward.py,exclude,Superseded ward-clustering rerun; not the report-facing final MP1-MP8 branch.
redo_snai1_zero_centered_maps.py,exclude,Legacy map refresh; final score maps are covered by EnrichMap and report-facing plotting scripts.
build_four_branch_synthesis_deck.py,exclude,"Presentation/deck builder, not required to regenerate manuscript figures or tables."
continuum_test_coarseC_jaccard.py,exclude,Coarse-C diagnostic not referenced in the current Results/Supplement; coarse heatmaps are covered separately.
plot_snai1ac_smoothed_corrected_mp_scatter_tumor_only.py,exclude,Scatter/QC visualization not referenced by current Results/Supplement figures or tables.
plot_snai1ac_unsmoothed_uncorrected_mp_scatter_tumor_only.py,exclude,Scatter/QC visualization not referenced by current Results/Supplement figures or tables.
fit_snai1ac_kstar_elastic_net_usage_models.py,exclude,Exploratory model-fitting branch not used by the current manuscript-facing ridge/univariate outputs.
build_programme_state_research_deliverables.py,exclude,PowerPoint deliverable builder; does not generate manuscript figures/tables.
integrated_family_evidence_synthesis.py,exclude,Downstream interpretive synthesis branch not referenced by the current Results/Supplement assets.
build_kstar_min10_signature_sensitivity.py,exclude,Min-10 annotation sensitivity workbook is not referenced by the current Results/Supplement.
build_kstar_min10_same_format_workbook.py,exclude,Min-10 same-format workbook is not referenced by the current Results/Supplement.
spottedpy_paper_tutorial_distance_audit.py,exclude,Method-alignment provenance only; final SpottedPy tables/figures are regenerated by the staged distance scripts.
spottedpy_v2_distance_provenance_refresh.py,exclude,Provenance refresh helper; not needed to compute or plot the final distance/GEE outputs.
spottedpy_v2_distance_result_review_preliminary.py,exclude,Preliminary interpretation/review layer explicitly marked non-authoritative.
spottedpy_v2_distance_review_emergence_preliminary.py,exclude,Preliminary interpretation/review layer explicitly marked non-authoritative.
spottedpy_v2_regenerate_hotspot_figures.py,exclude,Hotspot contact-sheet refresh only; current manuscript SpottedPy figures are covered by final distance and all-in-one scripts.
